n:96 mse_avg:4.74 mse_y:8.24 mse_u:1.15 mse_v:1.35 psnr_avg:41.37 psnr_y:38.97 psnr_u:47.51 psnr_v:46.82 
n:97 mse_avg:5.08 mse_y:8.87 mse_u:1.20 mse_v:1.39 psnr_avg:41.07 psnr_y:38.65 psnr_u:47.34 psnr_v:46.69 
n:98 mse_avg:4.80 mse_y:8.38 mse_u:1.12 mse_v:1.33 psnr_avg:41.32 psnr_y:38.90 psnr_u:47.65 psnr_v:46.89 
n:99 mse_avg:4.93 mse_y:8.62 mse_u:1.14 mse_v:1.34 psnr_avg:41.20 psnr_y:38.78 psnr_u:47.56 psnr_v:46.85 
n:100 mse_avg:4.57 mse_y:7.95 mse_u:1.08 mse_v:1.29 psnr_avg:41.53 psnr_y:39.13 psnr_u:47.79 psnr_v:47.02 
n:101 mse_avg:4.79 mse_y:8.36 mse_u:1.12 mse_v:1.32 psnr_avg:41.33 psnr_y:38.91 psnr_u:47.62 psnr_v:46.93 
n:102 mse_avg:4.65 mse_y:8.13 mse_u:1.09 mse_v:1.24 psnr_avg:41.46 psnr_y:39.03 psnr_u:47.76 psnr_v:47.19 
n:103 mse_avg:5.35 mse_y:9.47 mse_u:1.14 mse_v:1.31 psnr_avg:40.85 psnr_y:38.37 psnr_u:47.58 psnr_v:46.95 
n:104 mse_avg:5.30 mse_y:9.39 mse_u:1.10 mse_v:1.32 psnr_avg:40.89 psnr_y:38.40 psnr_u:47.73 psnr_v:46.94 
n:105 mse_avg:5.37 mse_y:9.52 mse_u:1.09 mse_v:1.33 psnr_avg:40.83 psnr_y:38.34 psnr_u:47.76 psnr_v:46.89 
n:106 mse_avg:4.01 mse_y:7.06 mse_u:0.89 mse_v:1.05 psnr_avg:42.09 psnr_y:39.64 psnr_u:48.63 psnr_v:47.93 
n:107 mse_avg:4.25 mse_y:7.52 mse_u:0.89 mse_v:1.07 psnr_avg:41.85 psnr_y:39.37 psnr_u:48.62 psnr_v:47.85 
n:108 mse_avg:3.06 mse_y:5.39 mse_u:0.68 mse_v:0.80 psnr_avg:43.27 psnr_y:40.82 psnr_u:49.82 psnr_v:49.12 
n:109 mse_avg:3.74 mse_y:6.69 mse_u:0.74 mse_v:0.85 psnr_avg:42.40 psnr_y:39.88 psnr_u:49.46 psnr_v:48.83 
n:110 mse_avg:3.76 mse_y:6.68 mse_u:0.76 mse_v:0.91 psnr_avg:42.38 psnr_y:39.88 psnr_u:49.34 psnr_v:48.54 
n:111 mse_avg:3.35 mse_y:5.98 mse_u:0.65 mse_v:0.80 psnr_avg:42.88 psnr_y:40.37 psnr_u:49.98 psnr_v:49.09 
