n:63 mse_avg:3.66 mse_y:6.37 mse_u:0.85 mse_v:1.03 psnr_avg:42.50 psnr_y:40.09 psnr_u:48.83 psnr_v:48.00 
n:64 mse_avg:3.92 mse_y:6.85 mse_u:0.90 mse_v:1.09 psnr_avg:42.20 psnr_y:39.78 psnr_u:48.61 psnr_v:47.75 
n:65 mse_avg:3.64 mse_y:6.32 mse_u:0.87 mse_v:1.05 psnr_avg:42.52 psnr_y:40.12 psnr_u:48.73 psnr_v:47.93 
n:66 mse_avg:3.93 mse_y:6.85 mse_u:0.91 mse_v:1.10 psnr_avg:42.19 psnr_y:39.77 psnr_u:48.53 psnr_v:47.70 
n:67 mse_avg:3.84 mse_y:6.68 mse_u:0.90 mse_v:1.10 psnr_avg:42.29 psnr_y:39.88 psnr_u:48.57 psnr_v:47.73 
n:68 mse_avg:4.03 mse_y:7.01 mse_u:0.94 mse_v:1.15 psnr_avg:42.08 psnr_y:39.67 psnr_u:48.40 psnr_v:47.54 
n:69 mse_avg:4.05 mse_y:7.08 mse_u:0.92 mse_v:1.13 psnr_avg:42.05 psnr_y:39.63 psnr_u:48.51 psnr_v:47.59 
n:70 mse_avg:3.93 mse_y:6.85 mse_u:0.91 mse_v:1.11 psnr_avg:42.19 psnr_y:39.77 psnr_u:48.55 psnr_v:47.69 
n:71 mse_avg:3.89 mse_y:6.77 mse_u:0.92 mse_v:1.10 psnr_avg:42.23 psnr_y:39.82 psnr_u:48.50 psnr_v:47.74 
n:72 mse_avg:3.87 mse_y:6.72 mse_u:0.93 mse_v:1.12 psnr_avg:42.25 psnr_y:39.86 psnr_u:48.45 psnr_v:47.66 
n:73 mse_avg:4.10 mse_y:7.15 mse_u:0.96 mse_v:1.15 psnr_avg:42.00 psnr_y:39.59 psnr_u:48.32 psnr_v:47.53 
n:74 mse_avg:4.15 mse_y:7.27 mse_u:0.95 mse_v:1.14 psnr_avg:41.95 psnr_y:39.52 psnr_u:48.36 psnr_v:47.58 
n:75 mse_avg:4.34 mse_y:7.61 mse_u:0.98 mse_v:1.19 psnr_avg:41.75 psnr_y:39.32 psnr_u:48.24 psnr_v:47.39 
n:76 mse_avg:4.20 mse_y:7.36 mse_u:0.94 mse_v:1.15 psnr_avg:41.90 psnr_y:39.46 psnr_u:48.38 psnr_v:47.54 
n:77 mse_avg:4.37 mse_y:7.66 mse_u:0.98 mse_v:1.18 psnr_avg:41.73 psnr_y:39.29 psnr_u:48.23 psnr_v:47.42 
n:78 mse_avg:4.37 mse_y:7.69 mse_u:0.96 mse_v:1.15 psnr_avg:41.72 psnr_y:39.27 psnr_u:48.30 psnr_v:47.53 
n:79 mse_avg:4.48 mse_y:7.86 mse_u:1.00 mse_v:1.19 psnr_avg:41.62 psnr_y:39.18 psnr_u:48.14 psnr_v:47.36 
n:80 mse_avg:4.36 mse_y:7.63 mse_u:1.00 mse_v:1.19 psnr_avg:41.74 psnr_y:39.31 psnr_u:48.13 psnr_v:47.39 
