n:134 mse_avg:656.95 mse_y:1221.94 mse_u:105.59 mse_v:78.31 psnr_avg:19.96 psnr_y:17.26 psnr_u:27.89 psnr_v:29.19 
n:135 mse_avg:681.69 mse_y:1268.26 mse_u:111.71 mse_v:78.54 psnr_avg:19.79 psnr_y:17.10 psnr_u:27.65 psnr_v:29.18 
n:136 mse_avg:794.70 mse_y:1489.80 mse_u:116.45 mse_v:82.75 psnr_avg:19.13 psnr_y:16.40 psnr_u:27.47 psnr_v:28.95 
n:137 mse_avg:672.05 mse_y:1237.98 mse_u:122.97 mse_v:89.27 psnr_avg:19.86 psnr_y:17.20 psnr_u:27.23 psnr_v:28.62 
n:138 mse_avg:763.82 mse_y:1412.19 mse_u:133.57 mse_v:97.31 psnr_avg:19.30 psnr_y:16.63 psnr_u:26.87 psnr_v:28.25 
n:139 mse_avg:1024.68 mse_y:1930.66 mse_u:134.17 mse_v:103.23 psnr_avg:18.02 psnr_y:15.27 psnr_u:26.85 psnr_v:27.99 
n:140 mse_avg:1146.84 mse_y:2171.54 mse_u:135.11 mse_v:109.19 psnr_avg:17.54 psnr_y:14.76 psnr_u:26.82 psnr_v:27.75 
n:141 mse_avg:1033.85 mse_y:1934.06 mse_u:144.69 mse_v:122.59 psnr_avg:17.99 psnr_y:15.27 psnr_u:26.53 psnr_v:27.25 
n:142 mse_avg:832.77 mse_y:1511.48 mse_u:165.46 mse_v:142.68 psnr_avg:18.93 psnr_y:16.34 psnr_u:25.94 psnr_v:26.59 
n:143 mse_avg:700.35 mse_y:1247.77 mse_u:168.71 mse_v:137.16 psnr_avg:19.68 psnr_y:17.17 psnr_u:25.86 psnr_v:26.76 
n:144 mse_avg:753.61 mse_y:1357.35 mse_u:165.33 mse_v:134.41 psnr_avg:19.36 psnr_y:16.80 psnr_u:25.95 psnr_v:26.85 
n:145 mse_avg:871.28 mse_y:1590.86 mse_u:165.92 mse_v:137.48 psnr_avg:18.73 psnr_y:16.11 psnr_u:25.93 psnr_v:26.75 
n:146 mse_avg:858.25 mse_y:1567.66 mse_u:162.81 mse_v:134.88 psnr_avg:18.79 psnr_y:16.18 psnr_u:26.01 psnr_v:26.83 
n:147 mse_avg:924.93 mse_y:1698.92 mse_u:163.73 mse_v:138.13 psnr_avg:18.47 psnr_y:15.83 psnr_u:25.99 psnr_v:26.73 
n:148 mse_avg:1034.91 mse_y:1916.46 mse_u:163.15 mse_v:143.55 psnr_avg:17.98 psnr_y:15.31 psnr_u:26.00 psnr_v:26.56 
n:149 mse_avg:964.32 mse_y:1782.56 mse_u:157.34 mse_v:134.81 psnr_avg:18.29 psnr_y:15.62 psnr_u:26.16 psnr_v:26.83 
n:150 mse_avg:1187.73 mse_y:2226.29 mse_u:160.02 mse_v:138.32 psnr_avg:17.38 psnr_y:14.65 psnr_u:26.09 psnr_v:26.72 
n:151 mse_avg:1256.79 mse_y:2367.60 mse_u:156.33 mse_v:135.64 psnr_avg:17.14 psnr_y:14.39 psnr_u:26.19 psnr_v:26.81 
n:152 mse_avg:1237.02 mse_y:2327.49 mse_u:157.32 mse_v:135.79 psnr_avg:17.21 psnr_y:14.46 psnr_u:26.16 psnr_v:26.80 
n:153 mse_avg:1205.43 mse_y:2259.60 mse_u:160.75 mse_v:141.76 psnr_avg:17.32 psnr_y:14.59 psnr_u:26.07 psnr_v:26.62 
n:154 mse_avg:1202.36 mse_y:2248.98 mse_u:165.68 mse_v:145.81 psnr_avg:17.33 psnr_y:14.61 psnr_u:25.94 psnr_v:26.49 
n:155 mse_avg:1329.63 mse_y:2498.23 mse_u:168.10 mse_v:153.95 psnr_avg:16.89 psnr_y:14.15 psnr_u:25.88 psnr_v:26.26 
n:156 mse_avg:1330.06 mse_y:2498.91 mse_u:168.25 mse_v:154.19 psnr_avg:16.89 psnr_y:14.15 psnr_u:25.87 psnr_v:26.25 
n:157 mse_avg:1474.10 mse_y:2780.82 mse_u:172.72 mse_v:162.04 psnr_avg:16.45 psnr_y:13.69 psnr_u:25.76 psnr_v:26.03 
n:158 mse_avg:1601.67 mse_y:3028.07 mse_u:175.65 mse_v:174.90 psnr_avg:16.09 psnr_y:13.32 psnr_u:25.68 psnr_v:25.70 
n:159 mse_avg:1708.44 mse_y:3238.04 mse_u:175.91 mse_v:181.75 psnr_avg:15.80 psnr_y:13.03 psnr_u:25.68 psnr_v:25.54 
n:160 mse_avg:1766.32 mse_y:3356.51 mse_u:169.69 mse_v:182.57 psnr_avg:15.66 psnr_y:12.87 psnr_u:25.83 psnr_v:25.52 
n:161 mse_avg:1838.72 mse_y:3508.46 mse_u:160.78 mse_v:177.18 psnr_avg:15.49 psnr_y:12.68 psnr_u:26.07 psnr_v:25.65 
n:162 mse_avg:1766.03 mse_y:3374.42 mse_u:150.12 mse_v:165.16 psnr_avg:15.66 psnr_y:12.85 psnr_u:26.37 psnr_v:25.95 
n:163 mse_avg:1967.98 mse_y:3776.12 mse_u:146.82 mse_v:172.84 psnr_avg:15.19 psnr_y:12.36 psnr_u:26.46 psnr_v:25.75 
n:164 mse_avg:1973.59 mse_y:3798.39 mse_u:133.99 mse_v:163.60 psnr_avg:15.18 psnr_y:12.33 psnr_u:26.86 psnr_v:25.99 
n:165 mse_avg:1909.52 mse_y:3684.50 mse_u:120.32 mse_v:148.76 psnr_avg:15.32 psnr_y:12.47 psnr_u:27.33 psnr_v:26.41 
n:166 mse_avg:1780.41 mse_y:3439.24 mse_u:105.83 mse_v:137.31 psnr_avg:15.63 psnr_y:12.77 psnr_u:27.88 psnr_v:26.75 
