n:51 mse_avg:591.76 mse_y:1099.62 mse_u:83.29 mse_v:84.51 psnr_avg:20.41 psnr_y:17.72 psnr_u:28.92 psnr_v:28.86 
n:52 mse_avg:484.36 mse_y:888.57 mse_u:82.18 mse_v:78.12 psnr_avg:21.28 psnr_y:18.64 psnr_u:28.98 psnr_v:29.20 
n:53 mse_avg:467.44 mse_y:853.46 mse_u:83.91 mse_v:78.93 psnr_avg:21.43 psnr_y:18.82 psnr_u:28.89 psnr_v:29.16 
n:54 mse_avg:540.63 mse_y:996.82 mse_u:86.78 mse_v:82.08 psnr_avg:20.80 psnr_y:18.14 psnr_u:28.75 psnr_v:28.99 
n:55 mse_avg:610.75 mse_y:1137.37 mse_u:86.72 mse_v:81.55 psnr_avg:20.27 psnr_y:17.57 psnr_u:28.75 psnr_v:29.02 
n:56 mse_avg:698.54 mse_y:1312.07 mse_u:86.85 mse_v:83.17 psnr_avg:19.69 psnr_y:16.95 psnr_u:28.74 psnr_v:28.93 
n:57 mse_avg:762.18 mse_y:1440.20 mse_u:85.12 mse_v:83.22 psnr_avg:19.31 psnr_y:16.55 psnr_u:28.83 psnr_v:28.93 
n:58 mse_avg:644.70 mse_y:1209.91 mse_u:81.08 mse_v:77.91 psnr_avg:20.04 psnr_y:17.30 psnr_u:29.04 psnr_v:29.21 
n:59 mse_avg:630.38 mse_y:1182.74 mse_u:79.02 mse_v:77.01 psnr_avg:20.13 psnr_y:17.40 psnr_u:29.15 psnr_v:29.27 
n:60 mse_avg:723.00 mse_y:1360.59 mse_u:85.74 mse_v:85.07 psnr_avg:19.54 psnr_y:16.79 psnr_u:28.80 psnr_v:28.83 
n:61 mse_avg:655.79 mse_y:1227.62 mse_u:82.13 mse_v:85.80 psnr_avg:19.96 psnr_y:17.24 psnr_u:28.99 psnr_v:28.80 
n:62 mse_avg:545.71 mse_y:1012.67 mse_u:78.65 mse_v:78.84 psnr_avg:20.76 psnr_y:18.08 psnr_u:29.17 psnr_v:29.16 
n:63 mse_avg:484.53 mse_y:895.78 mse_u:72.80 mse_v:73.74 psnr_avg:21.28 psnr_y:18.61 psnr_u:29.51 psnr_v:29.45 
n:64 mse_avg:361.09 mse_y:654.75 mse_u:69.12 mse_v:65.76 psnr_avg:22.55 psnr_y:19.97 psnr_u:29.74 psnr_v:29.95 
