025-04-03 09:45:33,397 - app.ui.tabs.options_tab - INFO - Populated VMAF model dropdown with 3 models
2025-04-03 09:51:07,827 - app.bookend_alignment - INFO - Detected white bookend: 10.177s - 10.344s (brightness: 254.0, frames: 2)
2025-04-03 09:51:11,243 - app.bookend_alignment - INFO - Detected white bookend: 17.684s - 17.851s (brightness: 253.1, frames: 2)
2025-04-03 09:51:14,517 - app.bookend_alignment - INFO - Detected white bookend: 25.192s - 25.359s (brightness: 254.0, frames: 2)
2025-04-03 09:51:16,432 - app.bookend_alignment - INFO - Found 4 white bookend sections with threshold 200
2025-04-03 09:51:16,440 - app.bookend_alignment - INFO - Successfully detected 4 white bookend sections
2025-04-03 09:51:16,441 - app.bookend_alignment - INFO - Detected first white bookend at: 2.669s - 2.836s
2025-04-03 09:51:16,441 - app.bookend_alignment - INFO - Detected last white bookend at: 25.192s - 25.359s
2025-04-03 09:51:16,441 - app.bookend_alignment - INFO - Content duration between bookends: 22.290s
2025-04-03 09:51:16,442 - app.bookend_alignment - WARNING - Reference duration (7.290s) differs from content duration (22.290s)
2025-04-03 09:51:16,442 - app.bookend_alignment - INFO - Detected multiple loops in captured video, looking for individual loops
2025-04-03 09:51:16,442 - app.bookend_alignment - INFO - Loop 1: 2.869s - 10.144s = 7.275s (diff: 0.015s)
2025-04-03 09:51:16,442 - app.bookend_alignment - INFO - Loop 2: 10.377s - 17.651s = 7.275s (diff: 0.015s)
2025-04-03 09:51:16,442 - app.bookend_alignment - INFO - Loop 3: 17.884s - 25.159s = 7.275s (diff: 0.015s)
2025-04-03 09:51:16,443 - app.bookend_alignment - INFO - Selected loop 1: 2.869s - 10.144s = 7.275s
2025-04-03 09:51:16,443 - app.bookend_alignment - INFO - Creating aligned reference video: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\tests\test_results\Test_01_20250403_094819\Dance01_094819_aligned.mp4
2025-04-03 09:51:21,506 - app.bookend_alignment - INFO - Creating aligned captured video from 2.869s to 10.144s
2025-04-03 09:51:26,846 - app.bookend_alignment - INFO - Created aligned videos: 7.27s / 7.30s
2025-04-03 09:51:26,850 - app.vmaf_analyzer - INFO - Set test name to: Test_01
2025-04-03 09:51:26,852 - app.vmaf_analyzer - INFO - Set test name to: Test_01
2025-04-03 09:51:26,852 - app.vmaf_analyzer - INFO - VMAF Reference: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\tests\test_results\Test_01_20250403_094819\Dance01_094819_aligned.mp4   
2025-04-03 09:51:26,853 - app.vmaf_analyzer - INFO - VMAF Distorted: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\tests\test_results\Test_01_20250403_094819\Dance01_capture_094819_aligned.mp4
2025-04-03 09:51:26,853 - app.vmaf_analyzer - INFO - Using existing test directory: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\tests\test_results\Test_01_20250403_094819
2025-04-03 09:51:26,853 - app.utils - INFO - Root directory determined to be: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app
2025-04-03 09:51:26,854 - app.utils - INFO - Using FFmpeg bin directory: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\ffmpeg_bin
2025-04-03 09:51:26,854 - app.utils - INFO - FFmpeg path: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\ffmpeg_bin\ffmpeg.exe
2025-04-03 09:51:26,854 - app.utils - INFO - FFprobe path: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\ffmpeg_bin\ffprobe.exe
2025-04-03 09:51:26,854 - app.vmaf_analyzer - INFO - Looking for VMAF model at: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\models\vmaf_v0.6.1.json
2025-04-03 09:51:26,855 - app.vmaf_analyzer - INFO - Using VMAF model from: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\models\vmaf_v0.6.1.json
2025-04-03 09:51:26,855 - app.vmaf_analyzer - INFO - Working directory changed to test directory for relative paths
2025-04-03 09:51:26,855 - app.vmaf_analyzer - INFO - Using relative paths: Test_01_20250403_095126_vmaf.json, Test_01_20250403_095126_vmaf.csv, Test_01_20250403_095126_psnr.txt, Test_01_20250403_095126_ssim.txt
2025-04-03 09:51:26,856 - app.vmaf_analyzer - INFO - Trying basic VMAF command with relative paths...
